Abbrev,corrected,Genus,Spec,Family,Order,Class,Phylum,Name,hymenia,Morphology,Lifestyle,originalTrait,Clade,dataset,X0,Number_of_copy
Fompi3,ballistospory,Fomitopsis,schrenkii,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota,Fomitopsis schrenkii FP-58527 SS1 v3.0,poroid,bracket,brown rot,ballistospory,0,JGI202304,135,7
Laesu1,ballistospory,Laetiporus,sulphureus,Laetiporaceae,Polyporales,Agaricomycetes,Basidiomycota,Laetiporus sulphureus var. sulphureus v1.0,poroid,bracket,brown rot,ballistospory,0,JGI202304,138,5
Pipbet1_1,ballistospory,Fomitopsis,betulina,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota,Fomitopsis betulina CIRM-BRFM 1772 v1.1,poroid,bracket,brown rot,ballistospory,0,JGI202304,134,6
PosplRSB12_1,ballistospory,Postia,placenta,Dacryobolaceae,Polyporales,Agaricomycetes,Basidiomycota,Postia placenta MAD-698-R-SB12 v1.0,poroid,bracket,brown rot,ballistospory,0,PL109,132,8
Wolco1,ballistospory,Wolfiporia,cocos,Laetiporaceae,Polyporales,Agaricomycetes,Basidiomycota,Wolfiporia cocos MD-104 SS10 v1.0,smooth,bracket,brown rot,ballistospory,0,JGI202304,139,11
Hydfim1,ballistospory,Hydnopolyporus,fimbriatus,Ipricaceae,Polyporales,Agaricomycetes,Basidiomycota,Hydnopolyporus fimbriatus CBS384.51 v1.0,smooth,Coralloid_Clavarioid,Mycorrhizal,ballistospory,0,JGI202304,161,3
Panru1,ballistospory,Panus,rudis,Panaceae,Polyporales,Agaricomycetes,Basidiomycota,Panus rudis PR-1116 ss-1 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,65,2
Cytmel1,ballistospory,Cytidiella,melzeri,Irpicaceae,Polyporales,Agaricomycetes,Basidiomycota,Cytidiella melzeri FP 102339 v1.0,smooth,bracket,uncertain,ballistospory,0,JGI202304,136,2
Ganbon1,ballistospory,Ganoderma,boninense,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Ganoderma boninense G3 v1.0,poroid,bracket,uncertain,ballistospory,0,JGI202304,145,6
Gansi1,ballistospory,Ganoderma,sinense,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Ganoderma sinense ZZ0214-1,poroid,bracket,uncertain,ballistospory,0,JGI202304,147,3
Abobie1,ballistospory,Abortiporus,biennis,Podoscyphaceae,Polyporales,Agaricomycetes,Basidiomycota,Abortiporus biennis ​CIRM-BRFM 1778 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,142,5
Artele1122_1,ballistospory,Artolenzites,elegans,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Artolenzites elegans CIRM-BRFM 1122 v1.0,lamellate,bracket,white rot,ballistospory,0,JGI202304,143,16
Bjead1_1,ballistospory,Bjerkandera,adusta,Phanerochaetaceae,Polyporales,Agaricomycetes,Basidiomycota,Bjerkandera adusta v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,141,3
Dicsq1,ballistospory,Dichomitus,squalens,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Dichomitus squalens LYAD-421 SS1 v1.0,poroid,bracket,white rot,ballistospory,0,PL109,95,4
Dicsqu18370_1,ballistospory,Dichomitus,squalens,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Dicsqu18370_1,poroid,bracket,white rot,ballistospory,0,JGI202304,144,4
Epityp1,ballistospory,Epithele,typhae,Epitheliaceae,Polyporales,Agaricomycetes,Basidiomycota,Epithele typhae CBS 203.58 v1.0,hydnoid,Resupinate,white rot,ballistospory,0,JGI202304,89,4
Ganluc1,ballistospory,Ganoderma,lucidum,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Ganoderma lucidum G.260125-1 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,146,2
Gansp1,ballistospory,Ganoderma,sp.,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Ganoderma sp. 10597 SS1 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,148,4
Leisp1,ballistospory,Leiotrametes,sp.,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Leiotrametes sp. CIRM-BRFM 1775 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,150,7
Obbri1,ballistospory,Obba,rivulosa,Gelatoporiaceae,Polyporales,Agaricomycetes,Basidiomycota,Obba rivulosa 3A-2 v1.0,poroid,Resupinate,white rot,ballistospory,0,JGI202304,91,2
Phchr2,ballistospory,Phanerochaete,chrysosporium,Phanerochaetaceae,Polyporales,Agaricomycetes,Basidiomycota,Phanerochaete chrysosporium RP-78 v2.2,smooth,Resupinate,white rot,ballistospory,0,JGI202304,94,7
Phlbr1,ballistospory,Phlebia,brevispora,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota,Phlebia brevispora HHB-7030 SS6 v1.0,smooth,Resupinate,white rot,ballistospory,0,PL109,92,3
Phlcen1,ballistospory,Phlebia,centrifuga,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota,Phlebia centrifuga FBCC195,smooth,Resupinate,white rot,ballistospory,0,JGI202304,93,3
Polar1,ballistospory,Polyporus,arcularius,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Polyporus arcularius v1.0,poroid,pileostipitate,white rot,ballistospory,0,PL109,66,4
Polsqu1,ballistospory,Polyporus,squamosus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Polyporus squamosus CCBS 676 v1.0,poroid,pileostipitate,white rot,ballistospory,0,JGI202304,67,4
Pycco1,ballistospory,Pycnoporus,coccineus,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Pycnoporus coccineus CIRM-BRFM 310 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,151,6
Trabet1,ballistospory,Trametes,betulina,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametes betulina CIRM-BRFM 1801 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,152,5
Trace1,ballistospory,Trametopsis,cervina,Irpicaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametopsis cervina CIRM-BRFM 1824 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,137,3
Tralj1,ballistospory,Trametes,ljubarskyi,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametes ljubarskyi CIRM-BRFM 1659 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,153,3
Tramen1,ballistospory,Leiotrametes,menziesii,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Leiotrametes menziesii CIRM-BRFM 1781 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,149,7
Tramey1,ballistospory,Trametes,meyenii,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametes meyenii CIRM-BRFM 1810 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,154,1
Trapol1,ballistospory,Trametes,polyzona,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametes polyzona CIRM-BRFM 1798 v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,155,3
Trapub1,ballistospory,Trametes,pubescens,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametes pubescens FBCC735,poroid,bracket,white rot,ballistospory,0,JGI202304,156,5
Trave1,ballistospory,Trametes,versicolor,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota,Trametes versicolor v1.0,poroid,bracket,white rot,ballistospory,0,JGI202304,157,5
Rigmic1,ballistospory,Rigidoporus,microporus,Meripilaceae,Polyporales,Agaricomycetes,Basidiomycota,Rigidoporus microporus ED310 v1.0,poroid,bracket,white rot  root pathogen,ballistospory,0,JGI202304,140,2
Melli1,ballistospory,Melampsora,lini,Melampsoraceae,Pucciniales,Pucciniomycetes,Basidiomycota,Melampsora lini CH5,no,woFrb,pathogen,prim-non-ball,0,JGI202304,108,25
Phapa1,ballistospory,Phakopsora,pachyrhizi,Phakopsoraceae,Pucciniales,Pucciniomycetes,Basidiomycota,Phakopsora pachyrhizi MT2006 v1.0,no,woFrb,pathogen,prim-non-ball,0,JGI202304,109,18
Pucgr2,ballistospory,Puccinia,graminis,Pucciniaceae,Pucciniales,Pucciniomycetes,Basidiomycota,Puccinia graminis f. sp. tritici v2.0,no,woFrb,pathogen,prim-non-ball,0,JGI202304,110,22
Aurvu1,ballistospory,Auriscalpium,vulgare,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota,Auriscalpium vulgare FP105234-Sp v1.0,hydnoid,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,68,3
Clapy1,ballistospory,Artomyces,pyxidatus,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota,Artomyces pyxidatus HHB10654 v1.0,smooth,Coralloid_Clavarioid,Mycorrhizal,ballistospory,0,JGI202304,162,3
Lacdel1,ballistospory,Lactarius,deliciosus,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Lactarius deliciosus 48 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,69,13
Lachat1,ballistospory,Lactarius,hatsudake,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Lactarius hatsudake 109 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,70,13
Lacqui1,ballistospory,Lactarius,quietus,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Lactarius quietus S23C v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,71,4
Lacsub1,ballistospory,Lactifluus,cf.,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Lactifluus cf. subvellereus BPL653 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,73,13
Lacviv1,ballistospory,Lactarius,vividus,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Lactarius vividus 141 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,72,7
Rusdis1,ballistospory,Russula,dissimulans,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Russula dissimulans BPL704 v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,74,6
Ruseme1,ballistospory,Russula,emetica,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Russula emetica Přilba v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,75,9
Rusoch1,ballistospory,Russula,ochroleuca,Russulaceae,Russulales,Agaricomycetes,Basidiomycota,Russula ochroleuca Přilba v1.0,lamellate,pileostipitate,Mycorrhizal,ballistospory,0,JGI202304,76,5
Densp1,ballistospory,Dentipellis,sp.,Hericiaceae,Russulales,Agaricomycetes,Basidiomycota,Dentipellis sp. KUC8613 v1.0,hydnoid,Resupinate,white rot,ballistospory,0,JGI202304,96,11
Hetan2,ballistospory,Heterobasidion,annosum,Bondarzewiaceae,Russulales,Agaricomycetes,Basidiomycota,Heterobasidion annosum v2.0,poroid,bracket,white rot,ballistospory,0,PL109,158,4
Stehi1,ballistospory,Stereum,hirsutum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota,Stereum hirsutum FP-91666 SS1 v1.0,smooth,Resupinate,white rot,ballistospory,0,JGI202304,97,6
Sacce1,prim-non-ball,Saccharomyces,cerevisiae,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Saccharomyces cerevisiae S288C,no,Yeasts,Yeasts,prim-non-ball,0,PL109,114,0
Schpo1,prim-non-ball,Schizosaccharomyces,pombe,Schizosaccharomycetaceae,Schizosaccharomycetales,Schizosaccharomycetes,Ascomycota,Schizosaccharomyces pombe,no,Yeasts,Yeasts,prim-non-ball,0,PL109,115,1
Sebve1,ballistospory,Sebacina,vermifera,Sebacinaceae,Sebacinales,Agaricomycetes,Basidiomycota,Sebacina vermifera MAFF 305830 v1.0,smooth,Coralloid_Clavarioid,Mycorrhizal,ballistospory,0,JGI202304,163,4
Neucr2,prim-non-ball,Neurospora,crassa,Sordariaceae,Sordariales,Sordariomycetes,Ascomycota,Neurospora crassa OR74A v2.0,no,woFrb,Yeasts,prim-non-ball,0,PL109,2,1
Rhoba1_1,ballistospory,Rhodotorula,graminis,Sporidiobolaceae,Sporidiobolales,Microbotryomycetes,Basidiomycota,Rhodotorula graminis strain WP1 v1.1,no,Yeasts,Yeasts,prim-non-ball,0,JGI202304,119,2
Thega1,ballistospory,Thelephora,ganbajun,Thelephoraceae,Thelephorales,Agaricomycetes,Basidiomycota,Thelephora ganbajun P2 v1.0,smooth,Coralloid_Clavarioid,Mycorrhizal,ballistospory,0,JGI202304,164,5
Tilcar1,ballistospory,Tilletia,caries,Tilletiaceae,Tilletiales,Exobasidiomycetes,Basidiomycota,Tilletia caries DAOM 238032,no,woFrb,Endophytic,prim-non-ball,0,JGI202304,107,2
Sisni1,ballistospory,Sistotremastrum,niveocremeum,Hydnodontaceae,Trechisporales,Agaricomycetes,Basidiomycota,Sistotremastrum niveocremeum HHB9708 ss-1 1.0,smooth,Resupinate,brown rot,ballistospory,0,JGI202304,98,3
Treen1,ballistospory,Naematelia,encephela,Naemateliaceae,Tremellales,Tremellomycetes,Basidiomycota,Naematelia encephela UCDFST 68-887.2 v1.0,smooth,Tremella like,Mycoparasitic,prim-non-ball,0,JGI202304,101,3
Cryne_JEC21_1,ballistospory,Cryptococcus,neoformans,Cryptococcaceae,Tremellales,Tremellomycetes,Basidiomycota,Cryptococcus neoformans var neoformans JEC21,no,woFrb,pathogen,prim-non-ball,0,JGI202304,111,1
Trias8904,ballistospory,Trichosporon,asahii,Trichosporonaceae,Trichosporonales,Tremellomycetes,Basidiomycota,Trichosporon asahii var. asahii CBS 8904,no,Yeasts,Yeasts,prim-non-ball,0,JGI202304,123,3
Psehu1,ballistospory,Pseudozyma,hubeiensis,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycota,Pseudozyma hubeiensis SY62,no,Yeasts,pathogen,prim-non-ball,0,JGI202304,124,2
Tescy1,ballistospory,Testicularia,cyperi,Anthracoideaceae,Ustilaginales,Ustilaginomycetes,Basidiomycota,Testicularia cyperi MCA 3645 v1.0,no,woFrb,pathogen,prim-non-ball,0,JGI202304,1,2
Ustma2_2,ballistospory,Ustilago,maydis,Ustilaginaceae,Ustilaginales,Ustilaginomycetes,Basidiomycota,Ustilago maydis 521 v2.0,no,woFrb,pathogen,prim-non-ball,0,JGI202304,112,1
Walse1,ballistospory,Wallemia,mellicola,Wallemiaceae,Wallemiales,Wallemiomycetes,Basidiomycota,Wallemia mellicola v1.0,no,woFrb,uncertain,prim-non-ball,0,PL109,113,4
Micbo1,prim-non-ball,Microdochium,bolleyi,Microdochiaceae,Xylariales,Sordariomycetes,Ascomycota,Microdochium bolleyi J235TASD1 v1.0,no,woFrb,Endophytic,prim-non-ball,0,O443,104,1
